Subject_ID	Sample_ID
CEPH1444.13	NA12750
CH18579	NA18579
CH18611	NA18611
CH18624	NA18624
JA18949	NA18949
JA18990	NA18990
CEPH1344.01	NA10851
CEPH1345.13	NA07345
CEPH1347.02	NA10859
CEPH1349.14	NA11840
CEPH1358.12	NA12717
CEPH1447.11	NA12762
CEPH1454.13	NA12813
CEPH1454.14	NA12814
CEPH1463.02	NA12878
CH18537	NA18537
CH18555	NA18555
CH18592	NA18592
CH18622	NA18622
JA18940	NA18940
JA18945	NA18945
JA18956	NA18956
JA18966	NA18966
JA18999	NA18999
YOR004.01	NA18500
YOR028.02	NA18912
YOR043.01	NA19139
YOR045.02	NA19201
YOR074.03	NA19144
CEPH1340.11	NA07022
CEPH1375.02	NA10863
CEPH1340.09	NA06994
CEPH1341.12	NA07055
CEPH1344.12	NA12056
CEPH1344.13	NA12057
CEPH1347.15	NA11882
CEPH1350.10	NA11829
CEPH1350.12	NA11831
CEPH1358.11	NA12716
CEPH1362.02	NA10861
CEPH1362.14	NA11993
CEPH1362.14	NA11993
CEPH1408.10	NA12154
CEPH1420.09	NA12003
CEPH1420.10	NA12004
CEPH1447.02	NA12753
CEPH1454.01	NA12801
CEPH1454.02	NA12802
CEPH1463.15	NA12891
CEPH1463.16	NA12892
CH18603	NA18603
JA18961	NA18961
JA18994	NA18994
YOR005.01	NA18503
YOR013.01	NA18515
YOR023.03	NA18856
YOR023.03	NA18856
YOR045.01	NA19202
YOR050.02	NA19209
YOR117.02	NA19238
CEPH1420.11	NA12005
CEPH1447.01	NA12752
JA19003	NA19003
YOR072.03	NA19153
CEPH1334.01	NA10846
CEPH1345.02	NA07348
CEPH1350.02	NA10855
CEPH1350.11	NA11830
CEPH1358.01	NA12707
CEPH1362.16	NA11995
CEPH1408.02	NA10831
CEPH1420.09	NA12003
CH18529	NA18529
CH18547	NA18547
CH18571	NA18571
CH18572	NA18572
CH18573	NA18573
CH18603	NA18603
CH18609	NA18609
CH18609	NA18609
CH18636	NA18636
JA18960	NA18960
JA18970	NA18970
JA18971	NA18971
JA18995	NA18995
YOR004.02	NA18502
YOR012.03	NA18859
YOR013.03	NA18516
YOR023.02	NA18855
YOR028.02	NA18912
YOR042.01	NA19103
YOR043.03	NA19138
YOR060.01	NA19120
YOR060.03	NA19119
YOR072.01	NA19154
YOR074.01	NA19145
YOR077.01	NA19129
YOR117.02	NA19238
YOR058.01	NA19221
CEPH1334.02	NA10847
CEPH1334.10	NA12144
CEPH1340.12	NA07056
CEPH1341.01	NA07048
CEPH1341.02	NA06991
CEPH1346.01	NA10857
CEPH1347.14	NA11881
CEPH1362.01	NA10860
CEPH1362.15	NA11994
CEPH1408.01	NA10830
CEPH1459.12	NA12875
CH18532	NA18532
CH18545	NA18545
CH18558	NA18558
CH18570	NA18570
CH18612	NA18612
JA18947	NA18947
JA18952	NA18952
JA18965	NA18965
JA18969	NA18969
JA18981	NA18981
JA18995	NA18995
JA19000	NA19000
YOR005.03	NA18504
YOR012.03	NA18859
YOR016.01	NA18521
YOR017.02	NA18870
YOR017.03	NA18871
YOR018.03	NA18853
YOR023.01	NA18857
YOR040.01	NA19094
YOR042.02	NA19102
YOR048.02	NA19204
YOR051.01	NA19208
YOR058.02	NA19222
YOR058.03	NA19223
YOR101.03	NA19130
YOR112.02	NA19193
CEPH1444.02	NA12740
CH18552	NA18552
CH18608	NA18608
JA18974	NA18974
CH18605	NA18605
CEPH1340.01	NA07029
CEPH1345.12	NA07357
CEPH1346.12	NA12044
CEPH1416.01	NA10835
CEPH1420.12	NA12006
CEPH1447.12	NA12763
CEPH1454.12	NA12812
CEPH1459.02	NA12865
CH18594	NA18594
CH18620	NA18620
CH18632	NA18632
JA18972	NA18972
YOR004.03	NA18501
YOR005.02	NA18505
YOR071.02	NA19140
YOR071.03	NA19141
YOR101.01	NA19132
YOR112.03	NA19192
CEPH1447.10	NA12761
CEPH1454.15	NA12815
CH18561	NA18561
CEPH1334.12	NA12146
CEPH1341.11	NA07034
CEPH1349.13	NA11839
CEPH1375.11	NA12264
CEPH1408.12	NA12155
CEPH1416.11	NA12248
CH18577	NA18577
CH18594	NA18594
JA18951	NA18951
JA18951	NA18951
JA18953	NA18953
JA18975	NA18975
JA18976	NA18976
YOR047.02	NA19172
YOR048.03	NA19203
YOR050.03	NA19210
YOR056.01	NA19161
YOR071.01	NA19142
YOR072.02	NA19152
YOR112.01	NA19194
YOR117.01	NA19240
CEPH1334.13	NA12239
CEPH1341.14	NA06985
CH18593	NA18593
CH18635	NA18635
YOR024.02	NA18861
YOR042.03	NA19101
CEPH1340.02	NA07019
CEPH1340.10	NA07000
CEPH1341.13	NA06993
CEPH1346.11	NA12043
CEPH1416.11	NA12248
CEPH1459.09	NA12872
CH18526	NA18526
CH18563	NA18563
JA18942	NA18942
JA18959	NA18959
JA18978	NA18978
JA19007	NA19007
YOR016.02	NA18523
YOR018.02	NA18852
YOR024.01	NA18863
YOR040.02	NA19093
YOR047.01	NA19173
YOR048.01	NA19205
YOR060.02	NA19116
YOR105.02	NA19099
CH18550	NA18550
JA18943	NA18943
CEPH1350.13	NA11832
CEPH1447.09	NA12760
CH18542	NA18542
CH18566	NA18566
CH18621	NA18621
JA18944	NA18944
JA18948	NA18948
JA18964	NA18964
JA18967	NA18967
JA18973	NA18973
YOR009.02	NA18508
YOR012.01	NA18860
YOR013.02	NA18517
YOR016.03	NA18522
YOR105.01	NA19100
YOR117.03	NA19239
CH18633	NA18633
YOR047.03	NA19171
YOR051.03	NA19207
CEPH1375.12	NA12234
CEPH1341.13	NA06993
CH18564	NA18564
JA18968	NA18968
JA18997	NA18997
YOR077.03	NA19128
YOR101.02	NA19131
